,Label,MBI,MNDWI,NDVI,SAVI
5,5,0.173478,0.0157349,0.0582311,0.0873439
5,5,0.163032,0.0583999,0.0197144,0.0295707
5,5,0.15504,0.0712304,0.0128992,0.0193483
5,5,0.156053,0.0807254,0.0060497,0.00907432
5,5,0.156158,0.0927609,-0.00123571,-0.00185352
5,5,0.154124,0.0967972,0.00292156,0.00438222
5,5,0.157267,0.0941889,0.0174755,0.0262125
5,5,0.149244,0.0966586,0.00352743,0.00529101
5,5,0.149918,0.106394,-0.00391448,-0.00587155
5,5,0.149278,0.10266,0.00401476,0.00602197
5,5,0.161899,0.115937,-0.00722463,-0.0108366
5,5,0.161899,0.115937,-0.00722463,-0.0108366
5,5,0.161899,0.115937,-0.00722463,-0.0108366
5,5,0.156667,0.101516,0.0145724,0.0218579
5,5,0.158649,0.0746998,0.00658611,0.00987891
5,5,0.16294,0.0333097,0.0491125,0.0736663
5,5,0.153775,0.0384285,0.0420988,0.0631462
5,5,0.160938,0.0526254,0.0213503,0.0320246
5,5,0.144782,0.113093,0.00859673,0.0128947
5,5,0.143423,0.116802,0.0230445,0.0345656
5,5,0.144641,0.130847,0.0218538,0.0327797
5,5,0.143516,0.115536,0.00520183,0.00780254
5,5,0.14707,0.130914,-0.00243665,-0.00365486
5,5,0.143485,0.124606,0.0106604,0.0159901
5,5,0.151278,0.0879032,0.0286653,0.0429964
5,5,0.148951,0.100934,0.00199093,0.00298631
5,5,0.146963,0.10443,0.00253492,0.00380228
5,5,0.148213,0.100895,0.0466814,0.0700199
5,5,0.144071,0.142004,0.00314908,0.00472346
5,5,0.145348,0.125636,-0.00501759,-0.00752617
5,5,0.14112,0.129814,0.0115152,0.0172722
5,5,0.136695,0.11921,0.0205381,0.0308062
5,5,0.142794,0.124723,-0.0046987,-0.00704784
5,5,0.156397,0.0637778,0.0182906,0.0274351
5,5,0.149146,0.0784859,0.0131805,0.0197702
5,5,0.160355,0.0806442,0.0127164,0.019074
5,5,0.162259,0.0601149,0.0187002,0.0280495
5,5,0.163482,0.034023,0.0385679,0.0578503
5,5,0.156397,0.0637778,0.0182906,0.0274351
5,5,0.145533,0.0772258,0.0270239,0.0405347
5,5,0.148016,0.0986855,0.0179337,0.0268997
5,5,0.148016,0.0986855,0.0179337,0.0268997
5,5,0.14749,0.0997786,0.0167783,0.0251667
5,5,0.143299,0.0968928,0.0186741,0.0280104
5,5,0.147567,0.0713152,0.032009,0.0480121
5,5,0.161695,-0.0216275,0.112452,0.168672
5,5,0.147352,0.055436,0.0461684,0.0692506
5,5,0.152689,0.0951909,0.0123729,0.0185589
5,5,0.152689,0.0951909,0.0123729,0.0185589
5,5,0.149122,0.101156,0.00960862,0.0144125
5,5,0.149122,0.101156,0.00960862,0.0144125
5,5,0.166752,0.0339477,0.0348532,0.0522782
5,5,0.156592,0.00516101,0.0631918,0.0947844
5,5,0.157517,-0.00637707,0.0699677,0.104948
5,5,0.166546,0.0185592,0.0511778,0.0767642
5,5,0.167479,-0.00438625,0.0534575,0.0801837
5,5,0.169985,0.0293155,0.0331797,0.0497679
5,5,0.163767,0.0545747,0.0170636,0.0255947
5,5,0.0319995,0.249145,0.0697166,0.104571
5,5,0.0307767,0.269389,0.0860198,0.129025
5,5,0.0359922,0.26488,0.0304916,0.045736
5,5,0.0307501,0.278774,0.0403448,0.0605152
5,5,0.0579889,0.248017,0.0216722,0.0325073
5,5,0.0216669,0.30048,0.0252559,0.0378826
5,5,0.0248406,0.31617,0.0189617,0.0284416
5,5,0.0446059,0.273487,0.0151364,0.0227038
5,5,0.0370679,0.257226,0.0654992,0.0982455
5,5,0.0201949,0.315815,0.0306241,0.0459347
5,5,0.0626251,0.278301,0.00646412,0.00969587
5,5,0.0239724,0.320045,0.0149062,0.0223586
5,5,0.0103457,0.334941,0.0323889,0.0485818
5,5,0.0423907,0.319683,-0.00107426,-0.00161133
5,5,0.0185664,0.220975,0.13405,0.201066
5,5,0.0328578,0.241275,0.102446,0.153663
5,5,0.062607,0.229782,0.054237,0.0813522
5,5,0.0189211,0.325291,0.0555044,0.0832536
5,5,0.0247241,0.279772,0.0465312,0.0697946
5,5,0.0455807,0.205355,0.0672474,0.100868
5,5,0.0282973,0.297561,0.0266625,0.0399924
5,5,0.0452403,0.219114,0.0646303,0.0969421
5,5,-0.00649673,0.294908,0.0770367,0.115551
5,5,0.0431753,0.280045,0.0178932,0.0268389
5,5,0.0592114,0.282523,0.00875942,0.0131387
5,5,0.0259361,0.309201,0.0511772,0.0767628
5,5,0.0497178,0.270016,0.0148275,0.0222404
5,5,0.0272154,0.254478,0.0558241,0.0837334
5,5,0.0177057,0.304387,0.0498937,0.0748379
5,5,0.0580219,0.212073,0.0435146,0.0652697
5,5,0.0520597,0.138638,0.13735,0.206016
5,5,0.121525,0.0753749,0.114775,0.172154
5,5,0.12592,-0.0512267,0.133312,0.199961
5,5,0.137908,0.0771833,0.0833533,0.125025
5,5,0.178993,0.106842,0.0292553,0.043881
5,5,0.0708261,0.0692534,0.19204,0.288045
5,5,0.122371,0.112805,0.0713527,0.107024
5,5,0.11105,0.136395,0.0698245,0.104733
5,5,0.134534,0.0934495,0.0814648,0.122192
5,5,0.13142,0.128278,0.0652921,0.0979344
5,5,0.140986,0.146894,0.0198611,0.0297906
5,5,0.126858,0.0899151,0.102674,0.154004
5,5,0.128822,0.102094,0.0743226,0.111479
5,5,0.104449,0.157087,0.110476,0.165708
5,5,0.132125,0.152799,0.0309306,0.0463944
5,5,0.13335,0.0430427,0.0951837,0.14277
5,5,0.158012,0.0848457,0.0585799,0.0878661
5,5,0.123835,0.0556345,0.0937527,0.140623
5,5,0.0970451,0.0423114,0.146946,0.22041
5,5,0.1247,-0.0266396,0.137236,0.205844
5,5,0.137342,0.103162,0.0948917,0.142332
5,5,0.126233,0.0708691,0.081573,0.122354
5,5,0.146653,-0.0475127,0.115453,0.17317
5,5,0.115778,0.0757753,0.106242,0.159356
5,5,0.159803,0.0217439,0.0972,0.145793
5,5,0.118658,0.0584177,0.128557,0.192826
5,5,0.105103,-0.0197062,0.210146,0.315202
5,5,0.163409,0.118953,0.0693791,0.104064
5,5,0.122799,-0.00211088,0.153818,0.230716
5,5,0.0355206,0.0749605,0.263334,0.394982
5,5,0.137819,0.138699,0.0196078,0.0294108
5,5,0.125774,0.162287,0.0227137,0.0340695
5,5,0.120698,0.118034,0.0631632,0.0947414
5,5,0.141624,0.107715,0.0470779,0.0706143
5,5,0.142857,0.11499,0.0391731,0.0587574
5,5,0.131552,0.0952467,0.076363,0.11454
5,5,0.104572,0.0609393,0.132019,0.198019
5,5,0.0701208,0.165422,0.136896,0.205335
5,5,0.107593,0.139695,0.108521,0.162773
5,5,0.169281,0.130282,0.00408965,0.00613422
5,5,0.116873,0.0370872,0.148198,0.222288
5,5,0.131632,0.103744,0.0495384,0.074305
5,5,0.12367,0.109906,0.0553544,0.0830289
5,5,0.0550082,-0.0451734,0.227133,0.340682
5,5,0.126414,0.126252,0.0566115,0.0849143
5,5,0.135239,0.140681,0.0408101,0.0612127
5,5,0.114864,0.0935996,0.0964717,0.144702
5,5,0.131164,0.12196,0.0686334,0.102946
5,5,0.121093,0.12399,0.0771384,0.115703
5,5,0.126701,0.121955,0.0510611,0.076589
5,5,0.125729,0.163429,0.0237859,0.0356778
5,5,0.112411,0.122675,0.0460871,0.0691283
5,5,0.115182,0.0374594,0.104569,0.156847
5,5,0.121276,0.127519,0.076661,0.114987
5,5,0.135235,0.111769,0.0527233,0.0790821
5,5,0.131579,0.0794148,0.0825931,0.123885
5,5,0.142879,0.12185,0.0337705,0.0506539
5,5,0.145513,0.180064,0.0182948,0.0274412
5,5,0.147249,0.138891,0.0234631,0.0351935
5,5,0.10937,0.155799,0.0683715,0.102554
5,5,0.138015,0.14635,0.0253873,0.0380797
5,5,0.158396,0.123662,0.0195585,0.0293368
5,5,0.122134,0.143506,0.06841,0.102611
5,5,0.117375,0.169441,0.0705439,0.105812
5,5,0.121119,0.146309,0.0441867,0.0662777
5,5,0.118431,0.15,0.0597443,0.0896132
5,5,0.128141,0.156472,0.0201064,0.0301586
5,5,0.137591,0.150484,0.0361818,0.0542707
5,5,0.153563,0.0872965,0.0494627,0.0741914
5,5,0.123518,0.116049,0.0767156,0.115069
5,5,0.130292,0.156206,0.0335388,0.0503064
5,5,0.145214,0.107847,0.0292728,0.0439075
5,5,0.14128,0.118038,0.0326194,0.0489275
5,5,0.113471,0.111868,0.0854057,0.128104
5,5,0.154683,0.162502,0.019239,0.0288575
5,5,0.149259,0.0958711,0.0416952,0.0625407
5,5,0.137779,0.150742,0.0182764,0.0274137
5,5,0.137044,0.149923,0.0556908,0.083533
